first_name,last_name,dob,company_id,last_active,score,member_since,state
Robert,Mclaughlin,3/26/1967,3,8/25/2018,57,2013,OR
Brittany,Norris,9/6/1972,12,3/29/2018,73,1986,MD
Sharon,Nichols,4/19/1971,7,4/11/2018,92,1985,WY
Christopher,Ware,5/25/1977,11,7/20/2018,74,2003,PA
Kevin,Scott,12/15/1981,8,11/20/2018,42,1994,MN
Randall,Hendricks,12/1/1979,14,8/23/2018,85,1972,SC
Lauren,Page,3/22/1995,20,7/25/2018,95,2016,ID
Franklin,Wilson,10/11/1969,11,12/16/2018,43,1990,GA
Timothy,Wilson,5/14/1980,2,1/14/2018,38,1996,MS
Brandon,Roberts,4/28/1990,4,7/13/2018,72,1984,DC
Elizabeth,Ramos,12/21/1985,6,2/23/2018,44,1998,WA
Tracy,Bennett,5/9/1968,18,10/18/2018,74,2009,TX
Cameron,Lin,7/11/1971,14,6/24/2018,69,2018,NY
Joshua,Rivera,9/19/1975,9,2/26/2018,64,1977,MN
Kimberly,Gray,11/24/1971,7,9/16/2018,58,2004,SC
Kevin,Mitchell,9/18/1971,16,9/6/2018,91,2000,AR
David,Martin,2/16/1960,17,11/5/2018,79,2014,VT
Jasmine,Jones,10/10/1976,17,10/15/2018,51,1985,DC
Alec,Brown,6/26/1969,13,6/30/2018,86,1977,CA
Roger,Phillips,9/12/1973,17,12/31/2018,71,2015,IN
Daniel,Allen,6/3/1982,0,1/4/2019,73,1996,AZ
Patrick,Delacruz,11/5/1968,16,1/6/2019,45,1979,WA
Danielle,Jennings,4/18/1987,12,1/26/2018,87,2016,IN
Gabriel,Martin,5/19/1983,17,12/29/2018,72,1974,CT
Alison,Huff,4/30/1988,13,1/13/2018,71,1987,IN
Tyler,Adkins,7/14/1960,12,12/26/2018,54,1972,WI
Bryan,Carroll,8/15/1962,8,5/4/2018,86,2009,NE
Michael,Cook,10/25/1980,11,8/30/2018,81,1978,SC
Kara,Cook,12/19/1976,8,10/3/2018,73,1985,AL
Melissa,Hicks,8/15/1973,3,11/19/2018,58,1995,OK
Nathaniel,Allen,2/2/1984,6,12/15/2018,85,2003,WI
Brittany,King,10/7/1959,13,8/25/2018,89,2017,HI
Lisa,Smith,2/16/1986,19,4/15/2018,82,1973,WA
Robert,Dunn,10/30/1972,20,12/23/2018,73,1993,WV
Colleen,Moore,1/12/1965,6,3/28/2018,58,2017,PA
Ryan,Miller,5/13/1994,13,1/28/2018,62,1972,IN
Eric,Fuentes,4/11/1959,18,9/21/2018,84,1975,ME
